Date,close,high,low,open,volume
2012-12-03,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,3600
2012-12-04,5.050000190734863,6.25,5.050000190734863,6.25,750
2012-12-05,5.949999809265137,5.949999809265137,5.949999809265137,5.949999809265137,40
2012-12-06,5.050000190734863,5.099999904632568,5.050000190734863,5.099999904632568,420
2012-12-07,5.050000190734863,5.099999904632568,5.0,5.099999904632568,800
2012-12-10,5.050000190734863,5.050000190734863,5.0,5.0,320
2012-12-11,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,0
2012-12-12,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,0
2012-12-13,5.0,5.099999904632568,5.0,5.099999904632568,920
2012-12-14,5.0,5.0,5.0,5.0,0
2012-12-17,5.0,5.0,5.0,5.0,0
2012-12-18,5.0,5.0,5.0,5.0,0
2012-12-19,5.0,5.0,5.0,5.0,0
2012-12-20,5.0,5.0,5.0,5.0,0
2012-12-21,5.0,5.0,5.0,5.0,0
2012-12-24,5.0,5.0,5.0,5.0,0
2012-12-26,5.0,5.0,5.0,5.0,0
2012-12-27,5.0,5.0,5.0,5.0,0
2012-12-28,5.0,5.0,5.0,5.0,0
2012-12-31,5.0,5.0,5.0,5.0,400
2013-01-02,5.0,5.0,5.0,5.0,0
2013-01-03,5.0,5.0,5.0,5.0,0
2013-01-04,5.0,5.0,5.0,5.0,0
2013-01-07,5.5,5.5,5.5,5.5,200
2013-01-08,5.5,5.5,5.5,5.5,0
2013-01-09,5.5,5.5,5.5,5.5,0
2013-01-10,5.5,5.5,5.5,5.5,0
2013-01-11,5.5,5.5,5.5,5.5,0
2013-01-14,5.5,5.5,5.5,5.5,0
2013-01-15,5.0,5.050000190734863,5.0,5.050000190734863,100
2013-01-16,5.0,5.0,5.0,5.0,0
2013-01-17,5.0,5.0,5.0,5.0,0
2013-01-18,5.0,5.0,5.0,5.0,0
2013-01-22,5.0,5.0,5.0,5.0,0
2013-01-23,5.0,5.0,5.0,5.0,0
2013-01-24,5.0,5.0,5.0,5.0,0
2013-01-25,5.0,5.0,5.0,5.0,0
2013-01-28,5.0,5.0,5.0,5.0,0
2013-01-29,5.0,5.0,5.0,5.0,0
2013-01-30,5.0,5.0,5.0,5.0,0
2013-01-31,5.0,5.0,5.0,5.0,0
2013-02-01,5.0,5.0,5.0,5.0,0
2013-02-04,5.0,5.0,5.0,5.0,0
2013-02-05,5.0,5.0,5.0,5.0,0
2013-02-06,5.0,5.0,5.0,5.0,0
2013-02-07,5.0,5.0,5.0,5.0,0
2013-02-08,5.0,5.0,5.0,5.0,0
2013-02-11,5.0,5.0,5.0,5.0,0
2013-02-12,5.0,5.0,5.0,5.0,0
2013-02-13,5.0,5.0,5.0,5.0,0
2013-02-14,5.0,5.0,5.0,5.0,0
2013-02-15,5.0,5.0,5.0,5.0,0
2013-02-19,5.0,5.0,5.0,5.0,0
2013-02-20,5.0,5.0,5.0,5.0,0
2013-02-21,5.0,5.0,5.0,5.0,300
2013-02-22,5.0,5.0,5.0,5.0,0
2013-02-25,5.0,5.0,5.0,5.0,0
2013-02-26,5.0,5.0,5.0,5.0,0
2013-02-27,5.0,5.0,5.0,5.0,0
2013-02-28,5.0,5.0,5.0,5.0,0
2013-03-01,5.0,5.0,5.0,5.0,0
2013-03-04,5.0,5.0,5.0,5.0,0
2013-03-05,5.0,5.0,5.0,5.0,0
2013-03-06,5.0,5.0,5.0,5.0,0
2013-03-07,5.0,5.0,5.0,5.0,0
2013-03-08,5.0,5.0,5.0,5.0,0
2013-03-11,5.0,5.0,5.0,5.0,0
2013-03-12,5.0,5.0,5.0,5.0,0
2013-03-13,5.0,5.0,5.0,5.0,0
2013-03-14,5.0,5.0,5.0,5.0,0
2013-03-15,5.0,5.0,5.0,5.0,0
2013-03-18,5.0,5.0,5.0,5.0,0
